"Institution","Program","Credential_Type","Status","Min_Avg_Final","Competitive_Final","Avg_Total","English_Req","English_Min","Eng_30_2_Allowed","Math_Req","Math_Min","Social_Req","Social_Min","Science_Req","Science_Min","Bio_30_Req","Chem_30_Req","Phys_30_Req","Sci_30_Req","Elective_Qty","Elective_Pool","Pool_Allows_Group_A","Pool_Allows_Group_B","Pool_Allows_Group_C","Pool_Allows_Group_D","Requirement_Type","HS_Diploma_Req","Math_Assessment_Flag","ELP_Tests_Mentioned"
"NorQuest","Building Service Worker","","","","","","English language proficiency","","","Placement/assessment","","","","","","","","","","","","","","","","placement_assessment","Unknown","Yes",""
"NorQuest","Greenhouse Practices and Operational Fundamentals","","","","","","English language proficiency","","","Placement/assessment","","","","","","","","","","","","","","","","placement_assessment","Unknown","Yes",""
"NorQuest","Hospitality Industry Fundamentals","","","","","","English language proficiency","","","Placement/assessment","","","","","","","","","","","","","","","","placement_assessment","Unknown","Yes",""
"NorQuest","Insurance Professional","","","","","","English language proficiency","","","Placement/assessment","","","","","","","","","","","","","","","","placement_assessment","Unknown","Yes",""
"NorQuest","Introduction to Aviation Operations","","","","","","English language proficiency","","","Placement/assessment","","","","","","","","","","","","","","","","placement_assessment","Unknown","Yes",""
"NorQuest","Introduction to Esports","","","","","","English language proficiency","","","Placement/assessment","","","","","","","","","","","","","","","","placement_assessment","Unknown","Yes",""
"NorQuest","Leadership Training Certificate","","","","","","English language proficiency","","","Placement/assessment","","","","","","","","","","","","","","","","placement_assessment","Unknown","Yes",""
"NorQuest","Solar Photovoltaic (PV) Systems and Installation","","","","","","English language proficiency","","","Placement/assessment","","","","","","","","","","","","","","","","placement_assessment","Unknown","Yes",""
"NorQuest","Tourism Supply Chain Fundamentals","","","","","","English language proficiency","","","Placement/assessment","","","","","","","","","","","","","","","","placement_assessment","Unknown","Yes",""
"NorQuest","CAEC Readiness","","","","","","English language proficiency","","","Placement/assessment","","","","","","","","","","","","","","","","placement_assessment","Yes","Yes",""
"NorQuest","Flight Attendant","","","","","","English language proficiency","","","Placement/assessment","","","","","","","","","","","","","","","","placement_assessment","Yes","Yes",""
"NorQuest","Foundational Business and Entrepreneurial Skills in Healthcare","","","","","","English language proficiency","","","Placement/assessment","","","","","","","","","","","","","","","","placement_assessment","Yes","Yes",""
"NorQuest","Health Information Management","","","","","","English language proficiency","","","Placement/assessment","","","","","","","","","","","","","","","","placement_assessment","Yes","Yes",""
"NorQuest","Introduction to Applied Research for Innovation","","","","","","English language proficiency","","","Placement/assessment","","","","","","","","","","","","","","","","placement_assessment","Yes","Yes",""
